,hour,time,Wind Day Ahead Forecast [in MW],Wind Intraday Forecast [in MW],PV Day Ahead Forecast [in MW],PV Intraday Forecast [in MW],Day Ahead Price hourly [in EUR/MWh],Intraday Price Price Quarter Hourly  [in EUR/MWh],Intraday Price Hourly  [in EUR/MWh],Imbalance Price Quarter Hourly  [in EUR/MWh]
0,0,2021-01-01 00:00:00,4433,4709,0,0,50.87,44.4098939299403,48.682293582902,13.33
1,0,2021-01-01 00:15:00,4286,4507,0,0,50.87,52.1391422972566,48.682293582902,-0.92
2,0,2021-01-01 00:30:00,4142,4307,0,0,50.87,50.160255077173,48.682293582902,60.26
3,0,2021-01-01 00:45:00,3991,4181,0,0,50.87,41.3420818657782,48.682293582902,-12.05
4,1,2021-01-01 01:00:00,3847,4094,0,0,48.19,64.4240130449708,46.1658193244654,96.09
5,1,2021-01-01 01:15:00,3728,3939,0,0,48.19,52.2323195962994,46.1658193244654,94.62
6,1,2021-01-01 01:30:00,3612,3705,0,0,48.19,45.7976203353164,46.1658193244654,92.21
7,1,2021-01-01 01:45:00,3508,3626,0,0,48.19,45.7056813391197,46.1658193244654,27.64
8,2,2021-01-01 02:00:00,3410,3585,0,0,44.68,65.5297033374537,53.7302632305764,13.71
9,2,2021-01-01 02:15:00,3303,3483,0,0,44.68,60.8963068545804,53.7302632305764,11.99
10,2,2021-01-01 02:30:00,3217,3361,0,0,44.68,55.7143652720263,53.7302632305764,4.31
11,2,2021-01-01 02:45:00,3137,3255,0,0,44.68,53.1382474367738,53.7302632305764,-3.01
12,3,2021-01-01 03:00:00,3056,3222,0,0,42.92,45.4436696684404,45.1713080555683,2.22
13,3,2021-01-01 03:15:00,3005,3173,0,0,42.92,40.1482328441095,45.1713080555683,4.63
14,3,2021-01-01 03:30:00,2954,3115,0,0,42.92,42.0119827740894,45.1713080555683,3.11
15,3,2021-01-01 03:45:00,2906,3028,0,0,42.92,43.6409979342126,45.1713080555683,1.01
16,4,2021-01-01 04:00:00,2858,2956,0,0,40.39,32.4775905451773,41.2140726097776,57.94
17,4,2021-01-01 04:15:00,2799,2840,0,0,40.39,40.3803534086156,41.2140726097776,50.74
18,4,2021-01-01 04:30:00,2741,2741,0,0,40.39,42.2221947133284,41.2140726097776,-16.54
19,4,2021-01-01 04:45:00,2682,2649,0,0,40.39,45.2724932815766,41.2140726097776,-43.0
20,5,2021-01-01 05:00:00,2623,2621,0,0,40.2,43.5769382078283,42.2232562928604,94.02
21,5,2021-01-01 05:15:00,2575,2588,0,0,40.2,42.0134245849523,42.2232562928604,-4.98
22,5,2021-01-01 05:30:00,2532,2638,0,0,40.2,44.1106360424028,42.2232562928604,23.62
23,5,2021-01-01 05:45:00,2485,2645,0,0,40.2,36.9826410912191,42.2232562928604,109.17
24,6,2021-01-01 06:00:00,2449,2533,0,0,39.63,34.2523947203017,42.3084448307481,44.42
25,6,2021-01-01 06:15:00,2420,2553,0,0,39.63,37.0612551079977,42.3084448307481,53.89
26,6,2021-01-01 06:30:00,2399,2477,0,0,39.63,43.3590651377608,42.3084448307481,109.17
27,6,2021-01-01 06:45:00,2383,2420,0,0,39.63,50.2857844146928,42.3084448307481,83.65
28,7,2021-01-01 07:00:00,2373,2377,0,0,40.09,30.3320501207729,43.1509875230552,62.65
29,7,2021-01-01 07:15:00,2376,2401,0,0,40.09,41.8454965911185,43.1509875230552,17.78
30,7,2021-01-01 07:30:00,2379,2365,0,0,40.09,48.7388182665424,43.1509875230552,24.77
31,7,2021-01-01 07:45:00,2388,2230,0,0,40.09,54.3254563917409,43.1509875230552,32.96
32,8,2021-01-01 08:00:00,2398,2158,5,6,41.27,43.9630022609819,46.8437493617021,13.25
33,8,2021-01-01 08:15:00,2417,2250,52,55,41.27,41.8825604104601,46.8437493617021,2.36
34,8,2021-01-01 08:30:00,2442,2291,185,183,41.27,44.6803742146954,46.8437493617021,0.46
35,8,2021-01-01 08:45:00,2460,2317,422,409,41.27,61.1319193927345,46.8437493617021,-11.59
36,9,2021-01-01 09:00:00,2477,2340,741,709,44.88,44.9502830188679,49.566984629799,-48.59
37,9,2021-01-01 09:15:00,2508,2397,1088,1066,44.88,48.7700961703589,49.566984629799,13.18
38,9,2021-01-01 09:30:00,2539,2372,1458,1473,44.88,49.3117761700871,49.566984629799,13.33
39,9,2021-01-01 09:45:00,2570,2392,1835,1931,44.88,52.9232099602752,49.566984629799,14.63
40,10,2021-01-01 10:00:00,2600,2389,2204,2337,45.0,44.33345901878,48.4457436810253,-3.35
41,10,2021-01-01 10:15:00,2575,2390,2550,2691,45.0,49.0441883591693,48.4457436810253,2.64
42,10,2021-01-01 10:30:00,2551,2357,2873,3104,45.0,40.9314736974578,48.4457436810253,31.01
43,10,2021-01-01 10:45:00,2528,2397,3174,3394,45.0,49.6572346983708,48.4457436810253,14.32
44,11,2021-01-01 11:00:00,2502,2396,3447,3805,47.2,44.7652209896108,48.1264440051087,32.53
45,11,2021-01-01 11:15:00,2506,2301,3678,4173,47.2,51.0791390502221,48.1264440051087,36.44
46,11,2021-01-01 11:30:00,2535,2297,3854,4345,47.2,47.5296865469332,48.1264440051087,36.18
47,11,2021-01-01 11:45:00,2562,2320,3981,4548,47.2,44.6132542603954,48.1264440051087,24.72
48,12,2021-01-01 12:00:00,2602,2389,4071,4648,50.78,58.7298935037274,52.0236229914462,73.2
49,12,2021-01-01 12:15:00,2647,2314,4117,4911,50.78,57.5396241979835,52.0236229914462,72.8
50,12,2021-01-01 12:30:00,2726,2310,4100,4809,50.78,58.1599104301709,52.0236229914462,77.98
51,12,2021-01-01 12:45:00,2847,2380,4022,4856,50.78,54.9166959990614,52.0236229914462,70.3
52,13,2021-01-01 13:00:00,2968,2281,3905,4929,45.49,56.7131586940015,48.9420847569635,5.33
53,13,2021-01-01 13:15:00,3066,2333,3750,4642,45.49,51.071474346748,48.9420847569635,62.78
54,13,2021-01-01 13:30:00,3147,2223,3547,4319,45.49,49.2538347085081,48.9420847569635,59.62
55,13,2021-01-01 13:45:00,3224,2314,3301,3916,45.49,42.6659408057619,48.9420847569635,56.98
56,14,2021-01-01 14:00:00,3297,2234,3018,3551,44.73,49.3142107379851,49.0837619392078,57.5
57,14,2021-01-01 14:15:00,3351,2201,2692,3114,44.73,45.7125730994152,49.0837619392078,66.12
58,14,2021-01-01 14:30:00,3408,2310,2328,2644,44.73,53.7559989621173,49.0837619392078,72.57
59,14,2021-01-01 14:45:00,3463,2396,1935,2200,44.73,57.4705937880633,49.0837619392078,69.71
60,15,2021-01-01 15:00:00,3512,2549,1525,1669,46.59,47.5617849400202,50.7892130836048,54.92
61,15,2021-01-01 15:15:00,3624,2449,1124,1153,46.59,50.1627884180365,50.7892130836048,67.35
62,15,2021-01-01 15:30:00,3733,2392,736,741,46.59,54.8743361024105,50.7892130836048,74.88
63,15,2021-01-01 15:45:00,3836,2426,397,385,46.59,59.1713082309956,50.7892130836048,75.22
64,16,2021-01-01 16:00:00,3946,2612,161,154,52.99,52.9480888586134,55.8532124648203,98.21
65,16,2021-01-01 16:15:00,4092,2800,39,35,52.99,62.2277996607614,55.8532124648203,74.36
66,16,2021-01-01 16:30:00,4236,3033,3,3,52.99,63.8956475520287,55.8532124648203,129.55
67,16,2021-01-01 16:45:00,4372,3260,0,0,52.99,67.1569623641523,55.8532124648203,32.09
68,17,2021-01-01 17:00:00,4499,3418,0,0,60.26,59.4110946415282,62.9962416640203,19.18
69,17,2021-01-01 17:15:00,4608,3586,0,0,60.26,61.3959964759343,62.9962416640203,31.8
70,17,2021-01-01 17:30:00,4694,3785,0,0,60.26,62.3483984212713,62.9962416640203,29.34
71,17,2021-01-01 17:45:00,4781,3865,0,0,60.26,61.5139389856607,62.9962416640203,27.46
72,18,2021-01-01 18:00:00,4859,3998,0,0,60.61,62.4333710125491,62.1450935918015,76.07
73,18,2021-01-01 18:15:00,4928,4065,0,0,60.61,61.3311257102273,62.1450935918015,69.57
74,18,2021-01-01 18:30:00,4971,4190,0,0,60.61,63.3073324430348,62.1450935918015,-30.3
75,18,2021-01-01 18:45:00,4988,4301,0,0,60.61,60.7292343020033,62.1450935918015,45.19
76,19,2021-01-01 19:00:00,4983,4470,0,0,60.36,71.1638423115346,62.9694221443104,11.64
77,19,2021-01-01 19:15:00,4979,4608,0,0,60.36,64.9492266294598,62.9694221443104,14.86
78,19,2021-01-01 19:30:00,4984,4679,0,0,60.36,59.6320590253946,62.9694221443104,14.47
79,19,2021-01-01 19:45:00,4998,4670,0,0,60.36,55.5338643923845,62.9694221443104,14.75
80,20,2021-01-01 20:00:00,5016,4677,0,0,57.4,65.5736930742402,59.7813802457106,1.72
81,20,2021-01-01 20:15:00,5035,4881,0,0,57.4,60.5769996136012,59.7813802457106,-2.05
82,20,2021-01-01 20:30:00,5058,5061,0,0,57.4,52.9599325921387,59.7813802457106,78.71
83,20,2021-01-01 20:45:00,5087,5083,0,0,57.4,49.658464617476,59.7813802457106,52.01
84,21,2021-01-01 21:00:00,5117,4936,0,0,53.86,61.2278272980501,54.1006559492207,93.8
85,21,2021-01-01 21:15:00,5166,4877,0,0,53.86,56.881995015294,54.1006559492207,71.75
86,21,2021-01-01 21:30:00,5216,4989,0,0,53.86,51.1856707001758,54.1006559492207,62.81
87,21,2021-01-01 21:45:00,5241,5041,0,0,53.86,45.906450492183,54.1006559492207,1.55
88,22,2021-01-01 22:00:00,5217,5167,0,0,53.45,85.5428943460879,58.4648475218481,10.05
89,22,2021-01-01 22:15:00,5176,5300,0,0,53.45,68.0895641838352,58.4648475218481,-4.4
90,22,2021-01-01 22:30:00,5133,5396,0,0,53.45,51.2399639896156,58.4648475218481,4.85
91,22,2021-01-01 22:45:00,5098,5532,0,0,53.45,38.4562914408168,58.4648475218481,7.38
92,23,2021-01-01 23:00:00,5062,5610,0,0,49.72,57.4126557863502,49.3819096777863,14.49
